Document Name,Current Status,Due Date,Executor,Category
Fragrance Line - J’adore - Special Edition - Product Label - French,On AI translation,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - Marketing Brochure - French,On linguist verification,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - User Guide - French,On translation,"Thu, 07 Dec 2023 14:30","j.martin",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - Product Label - German,On AI translation,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - Marketing Brochure - German,On linguist verification,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - User Guide - German,On validation,"Thu, 07 Dec 2023 20:30","a.durand",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - Product Label - Spanish,On AI translation,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - Marketing Brochure - Spanish,On linguist verification,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - User Guide - Spanish,On translation,"Fri, 08 Dec 2023 06:30","v.morel",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - Product Label - Italian,On AI translation,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - Marketing Brochure - Italian,On linguist verification,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Fragrance Line - J’adore - Special Edition - User Guide - Italian,On validation,"Fri, 08 Dec 2023 12:30","n.renard",PRODUCT DESCRIPTION
