Document Name,Current Status,Due Date,Executor,Category
Veterinary Nutrition - Dog Food - Hypoallergenic - Product Label - French,Translated,"","",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Marketing Brochure - French,On linguist verification,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - User Guide - French,Verified by linguist,"","",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Product Label - German,On AI translation,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Marketing Brochure - German,On translation,"Thu, 26 Oct 2023 20:30","h.aveline",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - User Guide - German,Translated,"","",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Product Label - Spanish,On linguist verification,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Marketing Brochure - Spanish,Verified by linguist,"","",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - User Guide - Spanish,On validation,"Wed, 01 Nov 2023 16:20","t.alexandre",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Product Label - Italian,Validated,"","",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Marketing Brochure - Italian,On designing,"Fri, 27 Oct 2023 06:00","k.sebastien",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - User Guide - Italian,Designed,"","",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Product Label - Dutch,On AI translation,"as soon as possible","mot tech",PRODUCT DESCRIPTION
Veterinary Nutrition - Dog Food - Hypoallergenic - Marketing Brochure - Dutch,On translation,"Fri, 27 Oct 2023 10:10","l.gauthier",PRODUCT DESCRIPTION
